                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5949,                 9.6039,                 3.2222,                0.00673,                0.18303,                 0.0296,                0.01239,                 2.0773,                 5.5965,                 2.4627,                0.07075,                0.00325,                0.00325
                      1,                 2.0484,                 6.1356,                 2.6508,                0.89287,                0.03998,                0.09106,                0.03032,                 2.2975,                 4.4132,                 2.5796,                0.04062,               0.006453,               0.006453
                      2,                 1.9522,                 4.7769,                  2.549,                0.58628,                0.15931,                0.11437,                0.04842,                 2.2996,                 5.2129,                 2.6612,               0.010357,               0.009524,               0.009524
                      3,                 1.8844,                 4.2031,                 2.5184,                0.59855,                0.14149,                0.05895,                0.01811,                 2.5891,                 9.3782,                 2.9884,               0.009406,               0.009406,               0.009406
                      4,                 1.9487,                 4.0956,                   2.54,                0.59518,                0.01324,                0.01106,                0.00566,                  2.542,                 5.1224,                 3.0947,               0.009406,               0.009406,               0.009406
                      5,                 2.0237,                 3.9683,                 2.6516,                0.00556,                0.34793,                0.00608,                0.00164,                 2.6294,                 18.872,                 3.6833,               0.009208,               0.009208,               0.009208
                      6,                 1.9766,                 3.9023,                 2.6128,                0.59977,                0.08529,                0.02389,                0.00599,                 2.5129,                 6.1426,                  3.035,                0.00901,                0.00901,                0.00901
                      7,                 2.0249,                 3.7989,                 2.6363,                0.71447,                0.02311,                0.01217,                0.00402,                 2.5888,                 5.6556,                  3.128,               0.008812,               0.008812,               0.008812
                      8,                 1.9452,                  3.613,                 2.5559,                0.50957,                0.10404,                0.12283,                0.05688,                 2.5661,                 5.9505,                 3.0048,               0.008614,               0.008614,               0.008614
                      9,                 1.9062,                 3.6012,                 2.5418,                0.26906,                0.09604,                0.05894,                0.01713,                 2.4099,                 4.5321,                 2.9516,               0.008416,               0.008416,               0.008416
                     10,                 1.9265,                 3.5025,                 2.5533,                0.41888,                0.25156,                0.09617,                0.03243,                 2.4151,                 4.2716,                 2.8595,               0.008218,               0.008218,               0.008218
                     11,                 1.8433,                 3.3708,                 2.5154,                0.45686,                0.22587,                0.21505,                0.07997,                 2.4192,                 4.0604,                 2.8974,                0.00802,                0.00802,                0.00802
