                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0942,                 5.3514,                 3.0984,                      0,                      0,                      0,                      0,                 3.0998,                 4.8563,                 2.9525,                 0.0793,                 0.0023,                 0.0023
                      1,                 2.6426,                 5.2755,                 2.7372,                      0,                      0,                      0,                      0,                 3.0367,                 5.0447,                 3.1637,               0.057653,              0.0046535,              0.0046535
                      2,                 2.4361,                  5.217,                 2.5739,                      0,                      0,                      0,                      0,                 3.0181,                 5.1064,                   3.55,               0.035959,              0.0069594,              0.0069594
                      3,                 2.3441,                 5.1457,                 2.5223,                0.74426,                 0.0044,                0.00102,                0.00023,                  3.043,                 4.9353,                 3.4915,               0.014218,              0.0092178,              0.0092178
                      4,                 2.3489,                 5.0804,                 2.5447,                0.00116,                0.04514,                0.00294,                0.00078,                 3.1779,                 4.7919,                 3.2088,               0.009604,               0.009604,               0.009604
                      5,                 2.2746,                 4.9713,                 2.5034,                0.00145,                0.04438,                0.00237,                0.00072,                 3.2419,                 5.1485,                  3.357,               0.009604,               0.009604,               0.009604
                      6,                  2.321,                 4.8676,                 2.5385,                 0.5241,                0.02778,                0.00908,                0.00194,                 3.1073,                 4.8422,                 3.1676,               0.009505,               0.009505,               0.009505
                      7,                 2.2753,                 4.7471,                 2.4936,                0.00843,                0.06882,                0.00941,                0.00292,                 3.1402,                 5.4399,                 3.1824,               0.009406,               0.009406,               0.009406
                      8,                 2.2952,                 4.6798,                 2.5242,                0.23927,                0.05796,                0.00934,                0.00227,                 3.1885,                 4.6258,                 3.2504,               0.009307,               0.009307,               0.009307
                      9,                 2.2474,                 4.5216,                 2.4665,                0.34874,                0.01472,                0.00763,                0.00224,                 3.0149,                 4.5163,                 3.1178,               0.009208,               0.009208,               0.009208
                     10,                 2.1963,                 4.4403,                 2.4546,                0.24088,                0.03853,                0.00978,                0.00305,                 3.0402,                 5.7606,                 3.3464,               0.009109,               0.009109,               0.009109
                     11,                 2.1701,                 4.3513,                 2.4339,                0.00774,                0.09097,                0.01113,                0.00398,                 3.1483,                 4.8949,                 3.3604,                0.00901,                0.00901,                0.00901
                     12,                 2.1802,                 4.2566,                 2.4393,                 0.2843,                0.05986,                0.04752,                0.01515,                  3.002,                 4.2167,                 3.0458,               0.008911,               0.008911,               0.008911
                     13,                 2.1164,                 4.1449,                 2.3994,                0.31899,                0.06993,                0.04851,                0.01613,                 2.8936,                 4.1396,                 2.8722,               0.008812,               0.008812,               0.008812
                     14,                 2.1404,                 4.0874,                 2.3997,                0.44288,                0.06663,                 0.0533,                0.01633,                 3.0478,                 4.0587,                  3.022,               0.008713,               0.008713,               0.008713
                     15,                 2.0669,                 3.9258,                 2.3471,                0.55281,                0.05208,                0.05195,                0.01486,                 2.9592,                 4.1756,                 2.9317,               0.008614,               0.008614,               0.008614
                     16,                 2.0433,                 3.8683,                 2.3148,                0.45568,                0.11231,                0.11502,                0.04205,                 2.8305,                 3.6837,                 2.7699,               0.008515,               0.008515,               0.008515
                     17,                 2.0447,                 3.7803,                 2.3116,                0.42714,                0.11602,                0.12361,                0.04065,                 2.9828,                 3.6538,                 2.9267,               0.008416,               0.008416,               0.008416
                     18,                 2.0052,                 3.6755,                  2.285,                0.52315,                0.11767,                0.13106,                0.05298,                 2.8068,                 3.6269,                 2.7471,               0.008317,               0.008317,               0.008317
                     19,                 1.9734,                 3.5382,                 2.2491,                0.53011,                0.15705,                0.19484,                 0.0632,                 2.8829,                 3.4441,                 2.7971,               0.008218,               0.008218,               0.008218
