                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7778,                 4.7163,                 3.1085,                      0,                      0,                      0,                      0,                 2.5328,                 4.4334,                 2.7982,                 0.0793,                 0.0023,                 0.0023
                      1,                 2.1202,                 4.6111,                 2.3994,                      0,                      0,                      0,                      0,                 2.5819,                 4.2128,                 2.5864,               0.057653,              0.0046535,              0.0046535
                      2,                 1.8641,                 4.5889,                 2.1722,                      0,                      0,                      0,                      0,                 2.8331,                 4.2256,                 2.8296,               0.035959,              0.0069594,              0.0069594
                      3,                 1.7692,                 4.5569,                 2.1195,                      0,                      0,                      0,                      0,                 2.8742,                 4.1734,                 2.8624,               0.014218,              0.0092178,              0.0092178
                      4,                 1.7505,                 4.5345,                 2.1264,                0.00066,                0.03163,                0.00111,                0.00024,                 2.9647,                 4.1862,                  3.338,               0.009604,               0.009604,               0.009604
                      5,                 1.6385,                 4.5165,                 2.0526,                0.00082,                0.03332,                0.00163,                0.00056,                 1.9918,                 4.4934,                 2.9241,               0.009604,               0.009604,               0.009604
                      6,                 1.5927,                 4.4905,                 2.0297,                0.00391,                0.06635,                0.00271,                0.00084,                 2.0671,                 4.2756,                 2.5444,               0.009505,               0.009505,               0.009505
                      7,                 1.5553,                 4.4281,                 1.9993,                0.00214,                0.04876,                0.00154,                0.00045,                 1.8676,                  4.764,                 2.6925,               0.009406,               0.009406,               0.009406
                      8,                 1.5528,                 4.3695,                 1.9938,                0.02348,                0.02211,                0.00045,                0.00016,                 2.1477,                 11.826,                 2.9298,               0.009307,               0.009307,               0.009307
                      9,                 1.5608,                 4.3157,                 2.0025,                 0.0015,                0.04472,                  0.001,                0.00035,                 1.8729,                 6.9493,                 2.6435,               0.009208,               0.009208,               0.009208
                     10,                 1.5663,                 4.2478,                 2.0266,                0.00091,                0.04303,                0.00133,                0.00049,                  1.649,                 5.6563,                 2.3914,               0.009109,               0.009109,               0.009109
                     11,                 1.5299,                 4.2131,                 1.9927,                  0.439,                0.00617,                0.00324,                0.00105,                 1.5834,                 5.2084,                 2.2281,                0.00901,                0.00901,                0.00901
                     12,                 1.5344,                 4.1974,                 1.9793,                 0.0034,                0.09522,                0.00534,                0.00182,                 1.7802,                 4.8824,                 2.3879,               0.008911,               0.008911,               0.008911
                     13,                 1.5258,                 4.1378,                 1.9899,                0.07078,                0.08156,                0.00579,                0.00212,                 1.7563,                 4.6324,                 2.2823,               0.008812,               0.008812,               0.008812
                     14,                 1.5513,                 4.1189,                 1.9846,                0.48433,                0.01905,                0.00881,                0.00213,                 2.2196,                 4.6237,                 2.7741,               0.008713,               0.008713,               0.008713
                     15,                 1.5308,                 4.1061,                 1.9695,                0.38985,                0.05719,                0.00912,                0.00284,                 2.0804,                 4.3881,                 2.6277,               0.008614,               0.008614,               0.008614
                     16,                 1.5114,                 4.0899,                 1.9402,                0.02915,                0.13372,                0.00979,                0.00389,                 1.7936,                 4.0745,                 2.1891,               0.008515,               0.008515,               0.008515
                     17,                  1.517,                 4.0881,                 1.9449,                0.25983,                0.07957,                0.00844,                0.00329,                 1.6937,                 4.1009,                 2.0802,               0.008416,               0.008416,               0.008416
                     18,                 1.5137,                 4.0512,                 1.9371,                0.01019,                0.14322,                0.01365,                  0.005,                 1.5178,                 3.9972,                  1.926,               0.008317,               0.008317,               0.008317
                     19,                 1.5149,                 4.0182,                 1.9407,                0.00745,                0.12553,                0.00842,                0.00294,                 1.5715,                 4.0219,                 1.9966,               0.008218,               0.008218,               0.008218
                     20,                 1.4808,                 3.9808,                 1.9173,                0.00888,                0.17861,                0.01804,                0.00705,                 1.9302,                 3.8535,                 2.2459,               0.008119,               0.008119,               0.008119
                     21,                  1.515,                 3.9592,                  1.938,                0.01113,                0.17034,                 0.0154,                0.00671,                 1.5357,                 3.9072,                 1.8987,                0.00802,                0.00802,                0.00802
                     22,                  1.488,                 3.9319,                 1.9082,                0.00742,                0.12022,                0.00833,                0.00352,                 1.5807,                 4.0061,                 1.9099,               0.007921,               0.007921,               0.007921
                     23,                 1.5327,                 3.9129,                 1.9512,                0.00897,                0.18493,                0.01964,                0.00847,                 1.5679,                 3.8656,                   1.85,               0.007822,               0.007822,               0.007822
                     24,                 1.5073,                 3.9041,                 1.9129,                0.02052,                0.21842,                0.02829,                0.01243,                 1.5758,                 3.8046,                 1.8329,               0.007723,               0.007723,               0.007723
                     25,                  1.498,                 3.8264,                 1.9312,                0.02369,                0.24797,                 0.0321,                0.01522,                 1.6468,                 3.7901,                 1.9176,               0.007624,               0.007624,               0.007624
                     26,                 1.4952,                 3.8412,                 1.9074,                0.01199,                0.22821,                0.02471,                0.01057,                 1.5267,                 3.8389,                 1.8424,               0.007525,               0.007525,               0.007525
                     27,                 1.4984,                 3.8269,                 1.9136,                 0.0159,                0.28356,                0.03809,                0.01641,                  1.667,                 3.7123,                   1.91,               0.007426,               0.007426,               0.007426
                     28,                 1.4745,                 3.7916,                 1.8995,                0.01796,                0.27305,                0.03926,                0.01705,                 1.6317,                 3.7221,                 1.9099,               0.007327,               0.007327,               0.007327
                     29,                 1.5031,                 3.7849,                 1.9022,                0.01603,                0.27615,                0.04277,                0.01983,                 1.5356,                 3.7413,                 1.8404,               0.007228,               0.007228,               0.007228
                     30,                 1.4799,                 3.7471,                 1.8997,                0.01797,                0.24151,                0.03962,                0.01756,                 1.6048,                 3.8088,                 1.8834,               0.007129,               0.007129,               0.007129
                     31,                 1.4882,                 3.6936,                 1.8982,                0.01812,                0.31719,                0.04663,                0.02149,                 1.6188,                 3.6622,                 1.8674,                0.00703,                0.00703,                0.00703
                     32,                 1.4641,                 3.6662,                 1.8851,                0.01786,                0.29875,                0.04842,                0.02214,                 1.5548,                 3.6979,                 1.8719,               0.006931,               0.006931,               0.006931
                     33,                  1.496,                 3.6198,                 1.8927,                0.02172,                0.33137,                 0.0577,                0.02628,                 1.5383,                  3.639,                 1.8378,               0.006832,               0.006832,               0.006832
                     34,                 1.4718,                 3.6113,                 1.8791,                0.55695,                0.05425,                0.06922,                0.03207,                 1.5898,                 3.6129,                 1.8328,               0.006733,               0.006733,               0.006733
                     35,                 1.4782,                 3.5495,                 1.8801,                0.10434,                0.12847,                0.04639,                0.02048,                 1.6332,                 3.7748,                 1.9202,               0.006634,               0.006634,               0.006634
                     36,                 1.4678,                 3.5209,                 1.8746,                0.56188,                0.06066,                0.07432,                0.03362,                   1.68,                 3.5747,                  1.944,               0.006535,               0.006535,               0.006535
