                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0267,                 5.6831,                 3.1847,                      0,                      0,                      0,                      0,                 2.7901,                 4.4399,                 2.8285,                 0.0793,                 0.0023,                 0.0023
                      1,                 2.5449,                 5.4533,                 2.7376,                      0,                      0,                      0,                      0,                  2.704,                 4.5811,                 3.0593,               0.057653,              0.0046535,              0.0046535
                      2,                 2.1712,                 5.2494,                 2.4559,                      0,                      0,                      0,                      0,                 2.6422,                  4.549,                 2.8694,               0.035959,              0.0069594,              0.0069594
                      3,                 2.0381,                 5.0642,                 2.3244,                0.00275,                0.04786,                  0.007,                0.00137,                  2.568,                 4.6088,                 2.9051,               0.014218,              0.0092178,              0.0092178
                      4,                 2.0494,                 4.8742,                 2.3592,                0.71401,                0.00658,                0.00289,                0.00066,                 2.7778,                 4.5459,                 3.1482,               0.009604,               0.009604,               0.009604
                      5,                 1.9954,                 4.6992,                 2.3294,                0.72291,                0.03376,                0.01417,                0.00344,                 2.8394,                 5.0785,                 3.3942,               0.009604,               0.009604,               0.009604
                      6,                 1.9793,                 4.5245,                  2.322,                0.48071,                0.06851,                0.04297,                0.00807,                 2.5815,                 4.4997,                 2.9885,               0.009505,               0.009505,               0.009505
                      7,                 1.9269,                 4.3712,                 2.2632,                0.64993,                0.03185,                0.03706,                0.01177,                 2.5069,                 4.2396,                 2.7736,               0.009406,               0.009406,               0.009406
                      8,                  1.992,                 4.3618,                 2.3358,                0.87605,                 0.0298,                0.04008,                0.01631,                 2.4899,                 4.2128,                 2.6809,               0.009307,               0.009307,               0.009307
                      9,                 1.9125,                  4.126,                 2.2702,                0.48107,                0.08054,                0.06708,                0.02246,                 2.4527,                 4.0651,                 2.6739,               0.009208,               0.009208,               0.009208
                     10,                 1.8938,                 4.0278,                 2.2643,                0.57017,                0.10282,                0.07506,                0.02478,                 2.5089,                 3.8169,                 2.6624,               0.009109,               0.009109,               0.009109
                     11,                 1.8515,                 3.8762,                 2.2125,                0.44353,                0.13469,                 0.1187,                0.03911,                 2.5718,                 3.5341,                 2.7572,                0.00901,                0.00901,                0.00901
                     12,                 1.8845,                 3.7986,                 2.2317,                0.47822,                0.12486,                0.11339,                0.04763,                 2.4245,                 3.6904,                 2.6321,               0.008911,               0.008911,               0.008911
                     13,                 1.8216,                 3.6153,                  2.193,                0.43084,                 0.1628,                0.13028,                0.04418,                 2.5869,                 3.7028,                 2.8121,               0.008812,               0.008812,               0.008812
                     14,                 1.8128,                 3.5556,                 2.1733,                0.61775,                0.20179,                0.21666,                0.06275,                 2.6562,                 3.5081,                 2.9391,               0.008713,               0.008713,               0.008713
                     15,                 1.7397,                 3.3452,                 2.1265,                0.41353,                0.17446,                0.21215,                0.07213,                 2.5446,                 3.3056,                 2.7196,               0.008614,               0.008614,               0.008614
                     16,                 1.7337,                 3.3017,                 2.0945,                0.61425,                0.25517,                0.28106,                0.11034,                 2.4981,                 3.0099,                 2.5772,               0.008515,               0.008515,               0.008515
                     17,                 1.7192,                 3.2734,                 2.0698,                0.28305,                 0.3603,                0.31112,                0.09932,                 2.5608,                 3.1486,                 2.6385,               0.008416,               0.008416,               0.008416
                     18,                 1.6981,                 3.1468,                 2.0558,                0.62983,                0.29873,                0.32279,                0.12721,                 2.4994,                 3.0444,                 2.6068,               0.008317,               0.008317,               0.008317
                     19,                 1.6771,                 3.0182,                 2.0338,                0.52478,                0.30581,                0.31769,                0.10225,                 2.5517,                 3.2677,                 2.6916,               0.008218,               0.008218,               0.008218
                     20,                 1.6349,                 2.8941,                 1.9931,                0.72271,                0.32184,                 0.4091,                0.14201,                  2.452,                 2.9593,                 2.5473,               0.008119,               0.008119,               0.008119
                     21,                 1.5935,                 2.8096,                 1.9598,                0.57721,                0.36605,                0.39757,                0.16266,                 2.3229,                 2.6144,                 2.3977,                0.00802,                0.00802,                0.00802
                     22,                 1.5818,                 2.7163,                  1.935,                0.58325,                 0.3554,                 0.4202,                0.18266,                 2.2342,                 2.5615,                 2.3142,               0.007921,               0.007921,               0.007921
                     23,                 1.6007,                 2.6873,                 1.9561,                0.42171,                0.42883,                0.40594,                0.20395,                 2.0616,                 2.5341,                 2.1512,               0.007822,               0.007822,               0.007822
                     24,                 1.5589,                 2.6213,                 1.9288,                0.54589,                0.38081,                0.44798,                0.23699,                 1.9918,                 2.6719,                 2.1189,               0.007723,               0.007723,               0.007723
                     25,                  1.473,                 2.4658,                 1.8721,                0.75737,                0.45602,                0.51675,                0.21343,                 2.3547,                 2.3417,                 2.3987,               0.007624,               0.007624,               0.007624
                     26,                  1.531,                 2.5396,                 1.8886,                0.56252,                0.44046,                0.47512,                0.20358,                  2.317,                 2.5111,                  2.391,               0.007525,               0.007525,               0.007525
                     27,                  1.468,                 2.4802,                 1.8433,                0.53307,                0.49474,                0.50786,                0.25096,                 2.0917,                 2.3089,                  2.197,               0.007426,               0.007426,               0.007426
                     28,                 1.4542,                 2.3829,                 1.8354,                0.68937,                0.46864,                0.54205,                0.26352,                 2.0837,                 2.3744,                 2.1816,               0.007327,               0.007327,               0.007327
                     29,                 1.4751,                 2.3304,                 1.8285,                0.71238,                0.51782,                0.58127,                 0.2935,                 2.0129,                 2.1367,                 2.0955,               0.007228,               0.007228,               0.007228
                     30,                 1.3917,                 2.2457,                 1.7878,                0.74043,                0.45707,                0.58207,                0.33013,                 1.8335,                 2.0075,                 1.9678,               0.007129,               0.007129,               0.007129
                     31,                 1.3675,                 2.2017,                 1.7622,                0.73004,                  0.467,                0.56674,                0.28142,                 2.1455,                 2.2577,                 2.2318,                0.00703,                0.00703,                0.00703
                     32,                 1.3511,                 2.1599,                 1.7524,                0.68872,                0.48241,                0.56077,                 0.2706,                 2.0733,                 2.2248,                 2.1054,               0.006931,               0.006931,               0.006931
                     33,                 1.3626,                 2.0988,                 1.7428,                0.77834,                0.51215,                0.58619,                0.26434,                 2.2162,                 2.1041,                 2.2736,               0.006832,               0.006832,               0.006832
                     34,                 1.3478,                 2.1105,                 1.7289,                0.78132,                0.50636,                0.59754,                0.31249,                 1.9015,                  1.978,                 2.0004,               0.006733,               0.006733,               0.006733
                     35,                  1.317,                 2.0038,                 1.7146,                0.72279,                 0.5105,                0.60862,                0.31669,                 1.9634,                 2.0298,                 2.0391,               0.006634,               0.006634,               0.006634
                     36,                 1.2979,                  1.992,                 1.7033,                 0.8575,                0.51619,                 0.6451,                0.33009,                 1.9855,                 1.9163,                 2.0593,               0.006535,               0.006535,               0.006535
                     37,                 1.3274,                 1.9337,                 1.7137,                0.77674,                 0.5536,                0.64758,                0.35205,                 1.8256,                 1.8346,                 1.9268,               0.006436,               0.006436,               0.006436
                     38,                 1.3082,                 1.9585,                  1.692,                0.76018,                0.55669,                0.63603,                0.31121,                 2.0292,                 2.0476,                 2.1039,               0.006337,               0.006337,               0.006337
                     39,                  1.302,                 1.9067,                 1.6823,                0.77842,                0.54673,                0.65019,                0.36811,                 1.7973,                   1.84,                 1.8932,               0.006238,               0.006238,               0.006238
                     40,                 1.2663,                 1.8351,                 1.6535,                0.73833,                0.53355,                0.63729,                0.33482,                 1.9157,                 1.9603,                 1.9816,               0.006139,               0.006139,               0.006139
                     41,                 1.2505,                 1.8259,                 1.6515,                0.78936,                0.59596,                0.66677,                0.36131,                  1.862,                 1.7994,                 1.9474,                0.00604,                0.00604,                0.00604
                     42,                 1.2271,                 1.7744,                 1.6173,                0.77598,                0.60297,                0.65941,                0.34273,                 1.9652,                 1.8083,                 2.0866,               0.005941,               0.005941,               0.005941
                     43,                 1.2273,                 1.7742,                 1.6159,                0.82107,                0.58789,                0.66312,                0.33695,                  1.987,                 1.7976,                 2.0443,               0.005842,               0.005842,               0.005842
                     44,                 1.2111,                 1.7565,                 1.6058,                0.83751,                0.57993,                0.66418,                0.32651,                 2.0604,                   1.75,                 2.0936,               0.005743,               0.005743,               0.005743
                     45,                 1.2562,                 1.8467,                 1.6472,                0.75598,                0.56422,                 0.6429,                 0.3379,                 2.0346,                 1.8323,                 2.0958,               0.005644,               0.005644,               0.005644
                     46,                 1.1876,                 1.6739,                 1.5816,                0.76212,                0.63405,                0.69825,                0.38525,                  1.829,                 1.7256,                 1.9079,               0.005545,               0.005545,               0.005545
                     47,                 1.1969,                 1.7204,                 1.6047,                0.80782,                0.63083,                0.71421,                0.38854,                 1.8601,                 1.6469,                 1.9162,               0.005446,               0.005446,               0.005446
                     48,                 1.1613,                 1.6045,                 1.5619,                0.84091,                0.58988,                0.72111,                0.40388,                 1.7837,                 1.5817,                 1.8522,               0.005347,               0.005347,               0.005347
                     49,                 1.1532,                 1.6578,                 1.5664,                0.75914,                0.66921,                0.72585,                0.39165,                  1.867,                 1.6543,                 1.9281,               0.005248,               0.005248,               0.005248
                     50,                 1.1333,                 1.6119,                 1.5522,                0.80572,                0.58685,                0.73055,                0.40317,                 1.8266,                 1.5904,                  1.902,               0.005149,               0.005149,               0.005149
                     51,                 1.1937,                 1.6607,                 1.5866,                0.71928,                0.61685,                0.70534,                0.39045,                 1.7882,                 1.6397,                  1.861,                0.00505,                0.00505,                0.00505
                     52,                 1.1336,                  1.544,                 1.5333,                0.85526,                0.60182,                 0.7277,                0.42609,                 1.6922,                 1.6302,                 1.8148,               0.004951,               0.004951,               0.004951
                     53,                 1.1208,                 1.5604,                  1.522,                0.73787,                0.67549,                0.74283,                0.46468,                 1.6325,                 1.5385,                 1.7372,               0.004852,               0.004852,               0.004852
                     54,                 1.1215,                 1.5565,                 1.5206,                0.87516,                0.61268,                0.75407,                0.46692,                 1.6435,                 1.4936,                 1.7548,               0.004753,               0.004753,               0.004753
                     55,                 1.1096,                 1.5021,                  1.505,                0.88672,                0.59691,                0.75954,                0.46706,                 1.5778,                 1.5272,                 1.6813,               0.004654,               0.004654,               0.004654
                     56,                 1.0879,                 1.5105,                 1.4942,                0.76555,                0.68346,                0.77708,                0.46279,                 1.7002,                 1.5728,                 1.7314,               0.004555,               0.004555,               0.004555
                     57,                 1.0862,                 1.4448,                 1.4966,                0.90854,                 0.6358,                0.77136,                0.44236,                 1.7135,                 1.5416,                 1.7693,               0.004456,               0.004456,               0.004456
