                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1606,                 5.2874,                 2.4794,                0.45246,                0.08016,                0.07514,                0.02518,                 2.1691,                 4.3281,                 2.3484,               0.070063,              0.0033264,              0.0033264
                      1,                 1.7717,                 3.8266,                 2.1388,                0.43823,                0.27355,                0.27566,                0.10181,                 2.3332,                 3.4493,                   2.42,               0.039997,              0.0065938,              0.0065938
                      2,                 1.6533,                 3.0501,                  2.031,                0.54387,                 0.3559,                0.38313,                0.18589,                 2.0705,                 2.9181,                 2.1596,              0.0098649,              0.0097952,              0.0097952
                      3,                 1.5435,                 2.6062,                 1.9276,                0.62436,                0.40031,                0.47553,                0.21474,                 2.3247,                 3.1554,                  2.412,               0.009703,               0.009703,               0.009703
                      4,                  1.422,                 2.1988,                 1.8131,                0.76998,                0.47644,                0.55679,                0.28283,                 2.2119,                 2.8536,                 2.2886,               0.009703,               0.009703,               0.009703
                      5,                 1.3022,                  1.893,                 1.7097,                0.85145,                 0.5974,                0.70745,                0.41093,                 1.7806,                 2.0112,                 1.9114,               0.009604,               0.009604,               0.009604
                      6,                 1.2297,                  1.688,                 1.6369,                0.88768,                0.62308,                0.72008,                 0.4166,                  1.757,                 1.9299,                 1.8537,               0.009505,               0.009505,               0.009505
                      7,                 1.1595,                 1.5345,                 1.5716,                0.90294,                0.63368,                0.73687,                0.42703,                 1.7463,                 1.7656,                 1.8578,               0.009406,               0.009406,               0.009406
                      8,                 1.1149,                 1.4225,                  1.534,                0.89209,                0.67704,                0.76067,                 0.4497,                 1.7714,                 1.6534,                 1.8523,               0.009307,               0.009307,               0.009307
                      9,                 1.0748,                 1.3589,                 1.5002,                0.93428,                0.71625,                0.80247,                0.52711,                  1.475,                 1.3954,                 1.6028,               0.009208,               0.009208,               0.009208
                     10,                 1.0389,                 1.2708,                 1.4686,                0.90908,                0.70464,                0.78945,                0.53638,                 1.4838,                 1.3914,                 1.6029,               0.009109,               0.009109,               0.009109
                     11,                 1.0046,                 1.2109,                 1.4387,                0.92116,                 0.6693,                0.75201,                0.46192,                 1.8012,                 1.6747,                 1.9157,                0.00901,                0.00901,                0.00901
                     12,                0.97114,                 1.1519,                 1.4093,                 0.9443,                0.75274,                0.83175,                0.55908,                 1.4127,                 1.2235,                 1.5367,               0.008911,               0.008911,               0.008911
                     13,                0.94236,                 1.0999,                 1.3847,                0.93301,                0.71387,                0.80462,                0.55729,                 1.4834,                 1.3049,                 1.5752,               0.008812,               0.008812,               0.008812
                     14,                0.92936,                 1.0754,                 1.3693,                0.94321,                 0.7518,                0.82979,                0.56812,                 1.4089,                 1.1993,                 1.5719,               0.008713,               0.008713,               0.008713
                     15,                 0.9024,                 1.0174,                 1.3457,                0.94949,                0.75995,                0.83811,                 0.5557,                 1.3962,                 1.1625,                 1.5283,               0.008614,               0.008614,               0.008614
                     16,                0.89018,                0.99763,                 1.3365,                 0.9507,                0.75674,                0.84437,                0.59612,                 1.2419,                 1.0975,                 1.4135,               0.008515,               0.008515,               0.008515
                     17,                0.86975,                0.97852,                 1.3194,                0.94159,                0.77943,                0.85451,                0.60854,                 1.2205,                 1.0781,                 1.3903,               0.008416,               0.008416,               0.008416
                     18,                0.85526,                0.94969,                 1.3086,                0.94749,                0.76209,                0.84667,                0.61256,                 1.1788,                 1.0664,                 1.3772,               0.008317,               0.008317,               0.008317
                     19,                0.83734,                0.92377,                 1.2929,                0.94251,                0.78045,                0.85323,                0.63244,                 1.1306,                  1.024,                  1.322,               0.008218,               0.008218,               0.008218
                     20,                0.82572,                0.90094,                 1.2795,                0.95211,                0.77608,                0.85364,                0.64978,                 1.1024,                0.97388,                 1.2931,               0.008119,               0.008119,               0.008119
                     21,                0.82076,                0.89171,                 1.2744,                0.96258,                 0.7893,                0.86419,                0.62939,                 1.1922,                 0.9703,                  1.378,                0.00802,                0.00802,                0.00802
