                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0306,                 5.6415,                 3.0901,                      0,                      0,                      0,                      0,                 2.9012,                 4.8662,                 2.8136,                 0.0847,                 0.0017,                 0.0017
                      1,                 2.5406,                 5.5298,                 2.7288,                      0,                      0,                      0,                      0,                  3.014,                 5.1204,                 3.3965,               0.068465,              0.0034654,              0.0034654
                      2,                 2.3561,                 5.4518,                 2.5518,                      0,                      0,                      0,                      0,                 2.8483,                 5.0976,                 3.2558,               0.052195,              0.0051951,              0.0051951
                      3,                 2.2612,                 5.3433,                 2.4687,                 0.0017,                 0.0098,                0.00143,                0.00047,                 2.7858,                 5.0172,                 3.1503,               0.035889,              0.0068891,              0.0068891
                      4,                 2.2517,                 5.2274,                 2.4643,                 0.7164,                0.00932,                0.00213,                0.00059,                 3.0182,                 5.3405,                 3.4932,               0.019548,              0.0085476,              0.0085476
                      5,                 2.2289,                 5.1183,                 2.4588,                0.43411,                0.01396,                0.00251,                0.00049,                 3.0126,                 13.204,                 3.4087,               0.009505,               0.009505,               0.009505
                      6,                 2.2009,                 4.9489,                 2.4434,                0.22043,                 0.0747,                0.00784,                0.00177,                 3.0534,                    inf,                 3.6755,               0.009505,               0.009505,               0.009505
                      7,                 2.2004,                 4.7857,                 2.4434,                0.04109,                0.07298,                0.01338,                0.00304,                 2.8141,                 12.435,                 2.8565,               0.009406,               0.009406,               0.009406
                      8,                 2.1554,                 4.6359,                   2.42,                0.01358,                0.04835,                0.01049,                 0.0028,                 2.9782,                 7.4331,                 2.9591,               0.009307,               0.009307,               0.009307
                      9,                 2.0677,                 4.4221,                 2.3678,                0.00513,                0.09012,                 0.0168,                0.00627,                 2.7706,                 5.5408,                  2.868,               0.009208,               0.009208,               0.009208
                     10,                 2.0732,                  4.272,                 2.3662,                0.53923,                0.09055,                0.05461,                0.02344,                 2.7113,                 5.4092,                 2.7492,               0.009109,               0.009109,               0.009109
                     11,                 2.0426,                 4.0848,                 2.3396,                0.43197,                0.12574,                 0.0929,                0.03087,                 2.7349,                 4.1507,                 2.7331,                0.00901,                0.00901,                0.00901
