                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.897,                 5.1199,                 3.1439,                      0,                      0,                      0,                      0,                 2.6803,                 4.7842,                 2.6513,                 0.0847,                 0.0017,                 0.0017
                      1,                 2.0755,                 5.0672,                  2.365,                      0,                      0,                      0,                      0,                 2.9739,                 4.7173,                  2.903,               0.068465,              0.0034654,              0.0034654
                      2,                 1.8283,                 5.0571,                 2.1238,                      0,                      0,                      0,                      0,                 2.9267,                 4.7643,                 2.9279,               0.052195,              0.0051951,              0.0051951
                      3,                 1.7182,                 5.0524,                 2.0654,                      0,                      0,                      0,                      0,                 2.9427,                 4.7643,                 2.9906,               0.035889,              0.0068891,              0.0068891
                      4,                 1.6943,                  5.056,                 2.0661,                      0,                      0,                      0,                      0,                  2.341,                 4.8254,                 2.5611,               0.019548,              0.0085476,              0.0085476
                      5,                  1.621,                  5.029,                 2.0262,                  8e-05,                0.00151,                  5e-05,                  1e-05,                 2.9172,                 4.7866,                 3.5677,               0.009505,               0.009505,               0.009505
                      6,                 1.5668,                 4.9947,                  1.989,                0.00113,                0.01062,                0.00079,                0.00037,                  2.753,                 4.7191,                 3.4836,               0.009505,               0.009505,               0.009505
                      7,                 1.5597,                 4.9586,                 1.9953,                0.00042,                0.01381,                0.00038,                  9e-05,                 2.8409,                 4.7356,                 3.6664,               0.009406,               0.009406,               0.009406
                      8,                 1.5322,                 4.8858,                 1.9745,                0.00013,                0.00796,                0.00011,                  4e-05,                 3.1787,                 4.9455,                 4.2964,               0.009307,               0.009307,               0.009307
                      9,                 1.5143,                 4.8013,                  1.989,                0.00132,                0.01929,                0.00079,                0.00026,                 1.9964,                 5.0086,                 2.6407,               0.009208,               0.009208,               0.009208
                     10,                 1.5306,                 4.7453,                 2.0022,                0.00043,                0.02209,                0.00028,                  7e-05,                 2.7042,                    inf,                 3.6954,               0.009109,               0.009109,               0.009109
                     11,                 1.5199,                 4.6882,                 2.0005,                 0.0006,                0.03049,                0.00044,                0.00012,                 2.1431,                 5.0056,                 2.7583,                0.00901,                0.00901,                0.00901
                     12,                 1.5079,                 4.6463,                 1.9889,                0.00091,                0.02313,                0.00057,                0.00018,                  1.578,                 4.7026,                 2.0379,               0.008911,               0.008911,               0.008911
                     13,                 1.5042,                 4.6177,                 1.9875,                0.00125,                0.04066,                0.00151,                 0.0005,                 1.8409,                  4.675,                 2.2901,               0.008812,               0.008812,               0.008812
                     14,                 1.4852,                 4.5729,                 1.9745,                0.00129,                 0.0276,                0.00102,                0.00046,                  1.549,                 4.6541,                 2.0475,               0.008713,               0.008713,               0.008713
                     15,                  1.474,                 4.5562,                 1.9531,                0.00168,                0.03149,                0.00115,                0.00034,                 1.4644,                 4.4866,                 1.8962,               0.008614,               0.008614,               0.008614
                     16,                 1.4901,                 4.5079,                 1.9704,                0.00165,                0.04711,                0.00173,                0.00069,                 1.7488,                 4.4315,                  2.184,               0.008515,               0.008515,               0.008515
                     17,                 1.4975,                 4.4814,                 1.9789,                0.00232,                0.03893,                0.00244,                0.00063,                  1.897,                 4.4097,                  2.363,               0.008416,               0.008416,               0.008416
                     18,                 1.4797,                 4.4264,                 1.9639,                 0.0038,                0.07751,                0.00529,                 0.0019,                 1.9767,                 4.2855,                 2.4887,               0.008317,               0.008317,               0.008317
                     19,                 1.4751,                 4.4173,                 1.9586,                0.00258,                0.04868,                  0.003,                0.00117,                 2.3679,                 4.4884,                 2.9984,               0.008218,               0.008218,               0.008218
                     20,                 1.4742,                  4.374,                 1.9624,                0.00322,                0.06255,                 0.0039,                0.00111,                 2.3397,                 4.5614,                 2.7883,               0.008119,               0.008119,               0.008119
                     21,                 1.4591,                 4.3471,                 1.9447,                0.00395,                0.08836,                0.00393,                0.00135,                 1.9727,                 4.2681,                 2.2935,                0.00802,                0.00802,                0.00802
                     22,                 1.4717,                 4.3125,                 1.9548,                0.00218,                0.01379,                0.00153,                0.00028,                 2.6219,                  4.766,                 3.0269,               0.007921,               0.007921,               0.007921
                     23,                 1.4658,                 4.2788,                 1.9555,                0.00038,                0.00963,                0.00021,                  4e-05,                 2.5349,                  4.934,                 3.2246,               0.007822,               0.007822,               0.007822
                     24,                 1.4746,                 4.2621,                 1.9596,                0.00214,                0.01579,                0.00137,                0.00062,                 1.3538,                 4.8426,                 1.6873,               0.007723,               0.007723,               0.007723
                     25,                 1.4764,                 4.2607,                  1.954,                0.00596,                0.07865,                0.00735,                0.00356,                 1.4039,                 4.3325,                 1.8073,               0.007624,               0.007624,               0.007624
                     26,                 1.4724,                 4.2444,                 1.9508,                0.00956,                0.12732,                 0.0159,                0.00679,                 1.4261,                 4.1968,                 1.7871,               0.007525,               0.007525,               0.007525
                     27,                 1.4644,                 4.2002,                 1.9471,                0.00761,                0.13681,                0.01393,                0.00498,                 1.6504,                 4.1267,                 1.9715,               0.007426,               0.007426,               0.007426
                     28,                 1.4641,                 4.1764,                 1.9454,                0.00756,                0.14642,                0.01393,                0.00575,                 1.5104,                 4.0635,                 1.8427,               0.007327,               0.007327,               0.007327
                     29,                 1.4627,                 4.1423,                 1.9425,                0.01422,                 0.1653,                0.02257,                0.01025,                 1.4794,                 4.1331,                  1.827,               0.007228,               0.007228,               0.007228
                     30,                 1.4773,                 4.1217,                 1.9503,                  0.009,                0.18955,                0.01779,                0.00722,                 1.8755,                 4.0015,                  2.172,               0.007129,               0.007129,               0.007129
                     31,                 1.4729,                 4.0798,                  1.952,                0.00957,                0.15439,                0.01697,                0.00688,                 1.6893,                 4.1922,                 1.9319,                0.00703,                0.00703,                0.00703
