                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0151,                 7.5343,                  3.352,                      0,                      0,                      0,                      0,                 2.5619,                 4.2258,                 2.6428,                 0.0847,                 0.0017,                 0.0017
                      1,                 2.4021,                 6.6667,                  2.832,                      0,                      0,                      0,                      0,                 2.6126,                 4.7171,                 3.4744,               0.068465,              0.0034654,              0.0034654
                      2,                  2.054,                  6.232,                 2.5086,                0.00239,                0.14333,                0.01155,                0.00221,                 2.3122,                 4.7196,                 3.1775,               0.052195,              0.0051951,              0.0051951
                      3,                 1.9287,                 5.7377,                  2.434,                0.00771,                0.27709,                0.01501,                0.00506,                 2.1391,                 4.4901,                 2.7727,               0.035889,              0.0068891,              0.0068891
                      4,                 1.9419,                 5.5077,                  2.436,                 0.2895,                0.03492,                0.04774,                0.01611,                 2.3223,                 4.5551,                 2.9866,               0.019548,              0.0085476,              0.0085476
                      5,                 1.9567,                 5.3051,                 2.4471,                 0.3738,                0.07635,                0.02419,                0.00763,                 2.6834,                 4.8726,                 3.2697,               0.009505,               0.009505,               0.009505
                      6,                 1.9125,                  5.054,                 2.4294,                 0.2986,                0.00368,                 0.0017,                0.00052,                 3.0568,                 6.2001,                 3.6705,               0.009505,               0.009505,               0.009505
                      7,                  1.902,                   4.87,                 2.4268,                0.13024,                0.04526,                0.00313,                0.00113,                 2.8397,                  11.34,                 3.3317,               0.009406,               0.009406,               0.009406
                      8,                 1.8248,                 4.7668,                 2.3681,                0.48038,                0.23229,                0.11219,                0.03438,                  2.412,                 26.978,                 2.8005,               0.009307,               0.009307,               0.009307
                      9,                 1.7504,                 4.5036,                 2.3114,                0.30849,                 0.1876,                0.06049,                0.01965,                 2.4184,                 6.3885,                 2.8248,               0.009208,               0.009208,               0.009208
                     10,                 1.8134,                 4.4011,                 2.3467,                0.32085,                0.24877,                0.11616,                 0.0375,                 2.6418,                 10.637,                 3.2367,               0.009109,               0.009109,               0.009109
                     11,                 1.7452,                 4.1132,                 2.2744,                0.30685,                 0.2244,                0.18597,                0.07062,                 2.4866,                 8.6117,                 2.9515,                0.00901,                0.00901,                0.00901
                     12,                  1.716,                 3.9013,                 2.2421,                0.45919,                0.35416,                0.28019,                 0.0843,                 2.5494,                 11.254,                 3.0558,               0.008911,               0.008911,               0.008911
                     13,                 1.6841,                  3.799,                 2.2201,                0.56305,                0.35697,                 0.3771,                 0.1471,                  2.212,                 3.4131,                 2.4775,               0.008812,               0.008812,               0.008812
                     14,                 1.6465,                 3.6264,                    2.2,                0.49062,                0.29152,                0.33215,                0.11428,                 2.4033,                  3.339,                 2.7037,               0.008713,               0.008713,               0.008713
                     15,                 1.5852,                  3.422,                 2.1262,                0.48064,                0.34938,                 0.3415,                0.14594,                 2.2778,                 3.1783,                 2.5875,               0.008614,               0.008614,               0.008614
                     16,                 1.5951,                 3.3388,                 2.1328,                0.47248,                0.42074,                0.45168,                0.15187,                 2.2512,                 3.1526,                 2.4672,               0.008515,               0.008515,               0.008515
                     17,                 1.5948,                 3.3116,                 2.1099,                0.56576,                 0.3886,                0.42498,                0.20093,                 2.2353,                 3.1865,                 2.4657,               0.008416,               0.008416,               0.008416
                     18,                 1.5516,                 3.0459,                 2.0549,                0.67113,                0.43484,                0.46933,                0.25682,                 2.0755,                 3.0229,                  2.316,               0.008317,               0.008317,               0.008317
                     19,                 1.5438,                 2.9659,                 2.0379,                0.62293,                 0.4663,                0.49944,                 0.2981,                  1.887,                 2.7794,                 2.0882,               0.008218,               0.008218,               0.008218
                     20,                 1.4905,                 2.8655,                 2.0168,                0.63043,                0.46354,                 0.5314,                0.25689,                 2.2589,                 3.1508,                 2.5154,               0.008119,               0.008119,               0.008119
                     21,                 1.4842,                 2.7753,                 2.0024,                0.69256,                 0.4407,                0.55646,                0.24078,                 2.2298,                 3.0113,                 2.4601,                0.00802,                0.00802,                0.00802
                     22,                 1.4505,                 2.7098,                 1.9667,                0.72695,                0.43463,                0.53287,                0.27052,                 2.1321,                 2.9531,                 2.3445,               0.007921,               0.007921,               0.007921
                     23,                 1.4325,                 2.6962,                 1.9747,                0.63885,                 0.4103,                 0.4714,                0.20033,                 2.2596,                 3.1116,                 2.5839,               0.007822,               0.007822,               0.007822
                     24,                 1.4369,                 2.5625,                 1.9583,                0.65855,                0.34335,                0.43606,                 0.1979,                 2.1858,                 4.2541,                 2.4272,               0.007723,               0.007723,               0.007723
                     25,                 1.4458,                 2.5668,                 1.9545,                0.59101,                0.52374,                0.58512,                0.30948,                 2.0711,                 2.7102,                 2.3056,               0.007624,               0.007624,               0.007624
