                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2631,                 5.2482,                 2.5969,                0.38049,                0.20929,                0.19243,                0.06125,                 2.3729,                 3.6221,                 2.4896,               0.070063,              0.0033264,              0.0033264
                      1,                 1.6843,                 2.6898,                 2.0904,                0.61289,                0.43867,                0.48789,                 0.1669,                 2.4047,                 2.7155,                 2.4859,               0.039997,              0.0065938,              0.0065938
                      2,                 1.5136,                 2.1751,                 1.9222,                0.72909,                0.50844,                0.57305,                0.28629,                 2.0697,                 2.3015,                 2.1123,              0.0098649,              0.0097952,              0.0097952
                      3,                  1.401,                 1.8897,                 1.8172,                0.75096,                0.59551,                0.66075,                0.33701,                  1.904,                 1.9474,                 1.9953,               0.009703,               0.009703,               0.009703
                      4,                 1.2767,                  1.641,                 1.7037,                0.85897,                0.62777,                0.72644,                0.40292,                 1.8361,                 1.6781,                 1.8943,               0.009703,               0.009703,               0.009703
                      5,                 1.1747,                 1.4603,                 1.6166,                0.89643,                 0.6657,                0.75466,                0.46491,                 1.5768,                 1.4841,                 1.6994,               0.009604,               0.009604,               0.009604
                      6,                 1.1096,                 1.3116,                 1.5449,                0.89555,                0.68974,                0.78002,                0.48012,                 1.6714,                 1.4471,                 1.7381,               0.009505,               0.009505,               0.009505
                      7,                  1.048,                 1.2019,                 1.4857,                0.91468,                0.71868,                0.80249,                0.48731,                 1.6556,                 1.3876,                 1.7345,               0.009406,               0.009406,               0.009406
                      8,                0.99148,                 1.1274,                 1.4407,                 0.9277,                0.71629,                0.81366,                0.54768,                 1.4334,                 1.2048,                 1.5446,               0.009307,               0.009307,               0.009307
                      9,                0.95896,                  1.087,                 1.4086,                0.93426,                0.74741,                0.83558,                0.57589,                 1.3235,                 1.1361,                  1.454,               0.009208,               0.009208,               0.009208
                     10,                 0.9239,                 1.0293,                 1.3808,                0.93346,                0.75416,                0.83042,                0.56047,                 1.4844,                 1.1566,                  1.595,               0.009109,               0.009109,               0.009109
                     11,                0.89156,                0.98119,                 1.3503,                0.94568,                0.76413,                0.84287,                0.58931,                 1.3036,                 1.0497,                 1.4538,                0.00901,                0.00901,                0.00901
                     12,                0.86091,                0.92675,                 1.3241,                0.94964,                0.77745,                0.84976,                0.60624,                 1.2454,                0.98027,                 1.3899,               0.008911,               0.008911,               0.008911
                     13,                0.83892,                 0.9011,                 1.3009,                0.94893,                0.76237,                0.84278,                0.62522,                 1.0911,                0.98738,                 1.2984,               0.008812,               0.008812,               0.008812
                     14,                0.82293,                0.87908,                 1.2881,                0.94035,                0.77988,                0.85476,                0.63375,                 1.1905,                0.97248,                 1.3725,               0.008713,               0.008713,               0.008713
                     15,                0.79974,                0.84208,                 1.2639,                0.94841,                0.79431,                0.86385,                0.64061,                 1.1099,                0.91599,                 1.2898,               0.008614,               0.008614,               0.008614
                     16,                0.78199,                0.81878,                 1.2497,                0.93778,                0.80178,                0.86808,                0.65619,                 1.0402,                0.86974,                 1.2374,               0.008515,               0.008515,               0.008515
                     17,                0.77226,                0.79765,                 1.2415,                0.95441,                0.79134,                0.86728,                0.65303,                 1.0325,                0.88554,                 1.2442,               0.008416,               0.008416,               0.008416
                     18,                0.75113,                0.77795,                 1.2277,                0.95942,                0.78795,                0.86846,                0.67894,                0.94603,                0.85078,                 1.1917,               0.008317,               0.008317,               0.008317
                     19,                0.73547,                0.75943,                 1.2135,                0.95547,                0.81179,                 0.8782,                0.66069,                 1.0789,                0.85619,                 1.2561,               0.008218,               0.008218,               0.008218
                     20,                0.72833,                0.73906,                 1.2046,                0.95779,                 0.8103,                0.88263,                0.69762,                0.94522,                0.78646,                 1.1702,               0.008119,               0.008119,               0.008119
                     21,                0.71556,                0.72531,                 1.1923,                0.95495,                0.82835,                0.88959,                0.69583,                0.96425,                0.77062,                 1.1867,                0.00802,                0.00802,                0.00802
                     22,                0.70277,                0.70175,                 1.1833,                0.95796,                 0.8242,                0.88583,                0.69982,                0.91116,                0.76618,                   1.16,               0.007921,               0.007921,               0.007921
