                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3159,                 6.4333,                 2.5735,                0.00209,                0.09474,                0.00809,                0.00241,                 2.5668,                 4.6024,                 2.4595,                 0.0701,              0.0033222,              0.0033222
                      1,                 1.8978,                 4.6836,                 2.0463,                0.31941,                0.13935,                0.11671,                0.04096,                  2.509,                 3.7715,                 2.3095,               0.040078,              0.0066336,              0.0066336
                      2,                 1.7021,                 3.4374,                 1.8546,                0.40754,                0.24494,                 0.2149,                0.09785,                 2.0843,                 3.2173,                 2.0044,               0.010034,               0.009923,               0.009923
                      3,                  1.586,                 2.8631,                 1.7692,                0.46709,                0.23701,                0.25527,                0.10739,                 2.0208,                 3.0491,                 1.9298,               0.009901,               0.009901,               0.009901
                      4,                 1.4997,                 2.2458,                  1.691,                0.54755,                0.30914,                0.34167,                0.16912,                 1.8946,                 2.7937,                 1.8237,               0.009901,               0.009901,               0.009901
                      5,                  1.421,                 1.8727,                 1.6239,                0.66306,                0.33623,                0.43259,                0.23478,                 1.6968,                 2.0518,                 1.6272,               0.009868,               0.009868,               0.009868
                      6,                 1.3265,                 1.6089,                 1.5534,                0.63038,                0.34618,                0.39951,                0.24507,                 1.5768,                 2.1367,                 1.5405,               0.009835,               0.009835,               0.009835
                      7,                 1.2302,                 1.3923,                 1.4825,                0.72957,                0.48369,                0.53677,                0.25133,                 1.9187,                 1.7147,                  1.843,               0.009802,               0.009802,               0.009802
                      8,                 1.1929,                 1.2939,                 1.4471,                0.71085,                 0.4606,                0.52171,                0.27395,                 1.6879,                 1.6123,                 1.6297,               0.009769,               0.009769,               0.009769
                      9,                 1.1364,                 1.1529,                 1.4051,                0.68395,                0.46473,                0.54557,                0.34193,                 1.3802,                 1.7143,                 1.4247,               0.009736,               0.009736,               0.009736
                     10,                 1.0982,                 1.0749,                 1.3658,                0.75903,                0.45642,                0.53856,                 0.3474,                 1.2856,                 1.5188,                 1.3491,               0.009703,               0.009703,               0.009703
                     11,                 1.0535,                0.96321,                  1.332,                0.77399,                0.55374,                0.64187,                0.29455,                 1.8489,                 1.4133,                 1.7653,                0.00967,                0.00967,                0.00967
                     12,                 1.0079,                0.89233,                 1.2999,                 0.7479,                0.57219,                0.65291,                0.37712,                 1.6339,                 1.2595,                 1.6089,               0.009637,               0.009637,               0.009637
                     13,                0.99253,                0.88899,                 1.2878,                0.75565,                 0.5462,                 0.6302,                0.39206,                 1.3933,                 1.2046,                 1.4025,               0.009604,               0.009604,               0.009604
                     14,                0.98475,                0.84008,                 1.2797,                0.77479,                0.60536,                0.65861,                0.43179,                  1.247,                 1.2289,                 1.3194,               0.009571,               0.009571,               0.009571
                     15,                  0.942,                0.81516,                 1.2538,                0.78515,                0.56408,                 0.6761,                0.46143,                 1.1741,                 1.1774,                 1.2515,               0.009538,               0.009538,               0.009538
                     16,                0.93107,                0.77573,                 1.2319,                0.81726,                0.63107,                0.72014,                0.44081,                 1.3502,                 1.1199,                 1.3802,               0.009505,               0.009505,               0.009505
